;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_HWO_title;Grant O'ahu Independence;;;;;;;;;;;;x,,
gtfo_HWO_desc;We've had a good run, but it's time to end our rulership of O'ahu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ICH_title;Grant Ichisi Independence;;;;;;;;;;;;x,,
gtfo_ICH_desc;We've had a good run, but it's time to end our rulership of Ichisi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ICL_title;Grant Iceland Independence;;;;;;;;;;;;x,,
gtfo_ICL_desc;We've had a good run, but it's time to end our rulership of Iceland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ICM_title;Grant Ichma Independence;;;;;;;;;;;;x,,
gtfo_ICM_desc;We've had a good run, but it's time to end our rulership of Ichma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IDR_title;Grant Idar Independence;;;;;;;;;;;;x,,
gtfo_IDR_desc;We've had a good run, but it's time to end our rulership of Idar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IME_title;Grant Imereti Independence;;;;;;;;;;;;x,,
gtfo_IME_desc;We've had a good run, but it's time to end our rulership of Imereti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_INC_title;Grant Inca Independence;;;;;;;;;;;;x,,
gtfo_INC_desc;We've had a good run, but it's time to end our rulership of Inca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ING_title;Grant Ingolstadt Independence;;;;;;;;;;;;x,,
gtfo_ING_desc;We've had a good run, but it's time to end our rulership of Ingolstadt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_INN_title;Grant Innu Independence;;;;;;;;;;;;x,,
gtfo_INN_desc;We've had a good run, but it's time to end our rulership of Innu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ION_title;Grant Corfu Independence;;;;;;;;;;;;x,,
gtfo_ION_desc;We've had a good run, but it's time to end our rulership of Corfu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IPR_title;Grant Indrapura Independence;;;;;;;;;;;;x,,
gtfo_IPR_desc;We've had a good run, but it's time to end our rulership of Indrapura: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRQ_title;Grant Iraq Independence;;;;;;;;;;;;x,,
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Iraq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IST_title;Grant Isleta Independence;;;;;;;;;;;;x,,
gtfo_IST_desc;We've had a good run, but it's time to end our rulership of Isleta: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ITZ_title;Grant Itza Independence;;;;;;;;;;;;x,,
gtfo_ITZ_desc;We've had a good run, but it's time to end our rulership of Itza: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAM_title;Grant Castilian West Indies Independence;;;;;;;;;;;;x,,
gtfo_JAM_desc;We've had a good run, but it's time to end our rulership of Castilian West Indies: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAR_title;Grant Jarai Independence;;;;;;;;;;;;x,,
gtfo_JAR_desc;We've had a good run, but it's time to end our rulership of Jarai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAS_title;Grant Jaisalmer Independence;;;;;;;;;;;;x,,
gtfo_JAS_desc;We've had a good run, but it's time to end our rulership of Jaisalmer: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JFN_title;Grant Jaffna Independence;;;;;;;;;;;;x,,
gtfo_JFN_desc;We've had a good run, but it's time to end our rulership of Jaffna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JGD_title;Grant Junagarh Independence;;;;;;;;;;;;x,,
gtfo_JGD_desc;We've had a good run, but it's time to end our rulership of Junagarh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIN_title;Grant Jin Independence;;;;;;;;;;;;x,,
gtfo_JIN_desc;We've had a good run, but it's time to end our rulership of Jin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JJI_title;Grant Janjiro Independence;;;;;;;;;;;;x,,
gtfo_JJI_desc;We've had a good run, but it's time to end our rulership of Janjiro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JLV_title;Grant Jhalavad Independence;;;;;;;;;;;;x,,
gtfo_JLV_desc;We've had a good run, but it's time to end our rulership of Jhalavad: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JML_title;Grant Jumla Independence;;;;;;;;;;;;x,,
gtfo_JML_desc;We've had a good run, but it's time to end our rulership of Jumla: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JNN_title;Grant Jenné Independence;;;;;;;;;;;;x,,
gtfo_JNN_desc;We've had a good run, but it's time to end our rulership of Jenné: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JNP_title;Grant Jaunpur Independence;;;;;;;;;;;;x,,
gtfo_JNP_desc;We've had a good run, but it's time to end our rulership of Jaunpur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JOA_title;Grant Joara Independence;;;;;;;;;;;;x,,
gtfo_JOA_desc;We've had a good run, but it's time to end our rulership of Joara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JOD_title;Grant Marwar Independence;;;;;;;;;;;;x,,
gtfo_JOD_desc;We've had a good run, but it's time to end our rulership of Marwar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JOH_title;Grant Johor Independence;;;;;;;;;;;;x,,
gtfo_JOH_desc;We've had a good run, but it's time to end our rulership of Johor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JPR_title;Grant Jeypore Independence;;;;;;;;;;;;x,,
gtfo_JPR_desc;We've had a good run, but it's time to end our rulership of Jeypore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAC_title;Grant Kachar Independence;;;;;;;;;;;;x,,
gtfo_KAC_desc;We've had a good run, but it's time to end our rulership of Kachar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAF_title;Grant Kaffa Independence;;;;;;;;;;;;x,,
gtfo_KAF_desc;We've had a good run, but it's time to end our rulership of Kaffa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAN_title;Grant Kano Independence;;;;;;;;;;;;x,,
gtfo_KAN_desc;We've had a good run, but it's time to end our rulership of Kano: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAQ_title;Grant Kaqchikel Independence;;;;;;;;;;;;x,,
gtfo_KAQ_desc;We've had a good run, but it's time to end our rulership of Kaqchikel: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAS_title;Grant Kashmir Independence;;;;;;;;;;;;x,,
gtfo_KAS_desc;We've had a good run, but it's time to end our rulership of Kashmir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAT_title;Grant Kutch Independence;;;;;;;;;;;;x,,
gtfo_KAT_desc;We've had a good run, but it's time to end our rulership of Kutch: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAX_title;Grant Kale Independence;;;;;;;;;;;;x,,
gtfo_KAX_desc;We've had a good run, but it's time to end our rulership of Kale: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAZ_title;Grant Kazakh Independence;;;;;;;;;;;;x,,
gtfo_KAZ_desc;We've had a good run, but it's time to end our rulership of Kazakh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KBA_title;Grant Kabylia Independence;;;;;;;;;;;;x,,
gtfo_KBA_desc;We've had a good run, but it's time to end our rulership of Kabylia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KBO_title;Grant Kanem Bornu Independence;;;;;;;;;;;;x,,
gtfo_KBO_desc;We've had a good run, but it's time to end our rulership of Kanem Bornu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KCX_title;Grant Koch Independence;;;;;;;;;;;;x,,
gtfo_KCX_desc;We've had a good run, but it's time to end our rulership of Koch: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KED_title;Grant Kedah Independence;;;;;;;;;;;;x,,
gtfo_KED_desc;We've had a good run, but it's time to end our rulership of Kedah: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KEL_title;Grant Kelantan Independence;;;;;;;;;;;;x,,
gtfo_KEL_desc;We've had a good run, but it's time to end our rulership of Kelantan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KER_title;Grant Cornwall Independence;;;;;;;;;;;;x,,
gtfo_KER_desc;We've had a good run, but it's time to end our rulership of Cornwall: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KGR_title;Grant Kangra Independence;;;;;;;;;;;;x,,
gtfo_KGR_desc;We've had a good run, but it's time to end our rulership of Kangra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHA_title;Grant Mongolia Independence;;;;;;;;;;;;x,,
gtfo_KHA_desc;We've had a good run, but it's time to end our rulership of Mongolia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHD_title;Grant Khandesh Independence;;;;;;;;;;;;x,,
gtfo_KHD_desc;We've had a good run, but it's time to end our rulership of Khandesh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHI_title;Grant Khiva Independence;;;;;;;;;;;;x,,
gtfo_KHI_desc;We've had a good run, but it's time to end our rulership of Khiva: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHO_title;Grant Khorasan Independence;;;;;;;;;;;;x,,
gtfo_KHO_desc;We've had a good run, but it's time to end our rulership of Khorasan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIC_title;Grant Kiche Independence;;;;;;;;;;;;x,,
gtfo_KIC_desc;We've had a good run, but it's time to end our rulership of Kiche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KID_title;Grant Kildare Independence;;;;;;;;;;;;x,,
gtfo_KID_desc;We've had a good run, but it's time to end our rulership of Kildare: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIE_title;Grant Kiev Independence;;;;;;;;;;;;x,,
gtfo_KIE_desc;We've had a good run, but it's time to end our rulership of Kiev: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIK_title;Grant Kikondja Independence;;;;;;;;;;;;x,,
gtfo_KIK_desc;We've had a good run, but it's time to end our rulership of Kikondja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIO_title;Grant Kiowa Independence;;;;;;;;;;;;x,,
gtfo_KIO_desc;We've had a good run, but it's time to end our rulership of Kiowa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KJH_title;Grant Keonhjar Independence;;;;;;;;;;;;x,,
gtfo_KJH_desc;We've had a good run, but it's time to end our rulership of Keonhjar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLD_title;Grant Kalundwe Independence;;;;;;;;;;;;x,,
gtfo_KLD_desc;We've had a good run, but it's time to end our rulership of Kalundwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLE_title;Grant Cleves Independence;;;;;;;;;;;;x,,
gtfo_KLE_desc;We've had a good run, but it's time to end our rulership of Cleves: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLH_title;Grant Kalahandi Independence;;;;;;;;;;;;x,,
gtfo_KLH_desc;We've had a good run, but it's time to end our rulership of Kalahandi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLN_title;Grant Keladi Independence;;;;;;;;;;;;x,,
gtfo_KLN_desc;We've had a good run, but it's time to end our rulership of Keladi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLP_title;Grant Kalpi Independence;;;;;;;;;;;;x,,
gtfo_KLP_desc;We've had a good run, but it's time to end our rulership of Kalpi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLT_title;Grant Kolathunad Independence;;;;;;;;;;;;x,,
gtfo_KLT_desc;We've had a good run, but it's time to end our rulership of Kolathunad: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KMC_title;Grant Kamchadals Independence;;;;;;;;;;;;x,,
gtfo_KMC_desc;We've had a good run, but it's time to end our rulership of Kamchadals: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KMN_title;Grant Kumaon Independence;;;;;;;;;;;;x,,
gtfo_KMN_desc;We've had a good run, but it's time to end our rulership of Kumaon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNG_title;Grant Kong Independence;;;;;;;;;;;;x,,
gtfo_KNG_desc;We've had a good run, but it's time to end our rulership of Kong: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNI_title;Grant The Knights Independence;;;;;;;;;;;;x,,
gtfo_KNI_desc;We've had a good run, but it's time to end our rulership of The Knights: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNZ_title;Grant Konstanz Independence;;;;;;;;;;;;x,,
gtfo_KNZ_desc;We've had a good run, but it's time to end our rulership of Konstanz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOC_title;Grant Kochin Independence;;;;;;;;;;;;x,,
gtfo_KOC_desc;We've had a good run, but it's time to end our rulership of Kochin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOH_title;Grant Koho Independence;;;;;;;;;;;;x,,
gtfo_KOH_desc;We've had a good run, but it's time to end our rulership of Koho: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOI_title;Grant Mann Independence;;;;;;;;;;;;x,,
gtfo_KOI_desc;We've had a good run, but it's time to end our rulership of Mann: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOK_title;Grant Ferghana Independence;;;;;;;;;;;;x,,
gtfo_KOK_desc;We've had a good run, but it's time to end our rulership of Ferghana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOL_title;Grant Cologne Independence;;;;;;;;;;;;x,,
gtfo_KOL_desc;We've had a good run, but it's time to end our rulership of Cologne: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KON_title;Grant Kongo Independence;;;;;;;;;;;;x,,
gtfo_KON_desc;We've had a good run, but it's time to end our rulership of Kongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;x,,
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRA_title;Grant Krakow Independence;;;;;;;;;;;;x,,
gtfo_KRA_desc;We've had a good run, but it's time to end our rulership of Krakow: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRC_title;Grant Korchin Independence;;;;;;;;;;;;x,,
gtfo_KRC_desc;We've had a good run, but it's time to end our rulership of Korchin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRM_title;Grant Karaman Independence;;;;;;;;;;;;x,,
gtfo_KRM_desc;We've had a good run, but it's time to end our rulership of Karaman: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRN_title;Grant Carnatic Independence;;;;;;;;;;;;x,,
gtfo_KRN_desc;We've had a good run, but it's time to end our rulership of Carnatic: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRW_title;Grant Karagwe Independence;;;;;;;;;;;;x,,
gtfo_KRW_desc;We've had a good run, but it's time to end our rulership of Karagwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSI_title;Grant Kasihta Independence;;;;;;;;;;;;x,,
gtfo_KSI_desc;We've had a good run, but it's time to end our rulership of Kasihta: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSJ_title;Grant Kasanje Independence;;;;;;;;;;;;x,,
gtfo_KSJ_desc;We've had a good run, but it's time to end our rulership of Kasanje: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSK_title;Grant Kaskaskia Independence;;;;;;;;;;;;x,,
gtfo_KSK_desc;We've had a good run, but it's time to end our rulership of Kaskaskia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSP_title;Grant Kispoko Independence;;;;;;;;;;;;x,,
gtfo_KSP_desc;We've had a good run, but it's time to end our rulership of Kispoko: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KTI_title;Grant Kutai Independence;;;;;;;;;;;;x,,
gtfo_KTI_desc;We've had a good run, but it's time to end our rulership of Kutai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KTS_title;Grant Katsina Independence;;;;;;;;;;;;x,,
gtfo_KTS_desc;We've had a good run, but it's time to end our rulership of Katsina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KTU_title;Grant Kathmandu Independence;;;;;;;;;;;;x,,
gtfo_KTU_desc;We've had a good run, but it's time to end our rulership of Kathmandu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KUB_title;Grant Kuba Independence;;;;;;;;;;;;x,,
gtfo_KUB_desc;We've had a good run, but it's time to end our rulership of Kuba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KWN_title;Grant Mong Kawng Independence;;;;;;;;;;;;x,,
gtfo_KWN_desc;We've had a good run, but it's time to end our rulership of Mong Kawng: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZB_title;Grant Kazembe Independence;;;;;;;;;;;;x,,
gtfo_KZB_desc;We've had a good run, but it's time to end our rulership of Kazembe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZN_title;Grant Kazan Independence;;;;;;;;;;;;x,,
gtfo_KZN_desc;We've had a good run, but it's time to end our rulership of Kazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAC_title;Grant Tzotzil Independence;;;;;;;;;;;;x,,
gtfo_LAC_desc;We've had a good run, but it's time to end our rulership of Tzotzil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAU_title;Grant Saxe-Lauenburg Independence;;;;;;;;;;;;x,,
gtfo_LAU_desc;We've had a good run, but it's time to end our rulership of Saxe-Lauenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBA_title;Grant Luba Independence;;;;;;;;;;;;x,,
gtfo_LBA_desc;We've had a good run, but it's time to end our rulership of Luba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBN_title;Grant Lebanon Independence;;;;;;;;;;;;x,,
gtfo_LBN_desc;We've had a good run, but it's time to end our rulership of Lebanon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBV_title;Grant Landshut Independence;;;;;;;;;;;;x,,
gtfo_LBV_desc;We've had a good run, but it's time to end our rulership of Landshut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LDK_title;Grant Ladakh Independence;;;;;;;;;;;;x,,
gtfo_LDK_desc;We've had a good run, but it's time to end our rulership of Ladakh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LDU_title;Grant Lundu Independence;;;;;;;;;;;;x,,
gtfo_LDU_desc;We've had a good run, but it's time to end our rulership of Lundu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LEI_title;Grant Leinster Independence;;;;;;;;;;;;x,,
gtfo_LEI_desc;We've had a good run, but it's time to end our rulership of Leinster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LEN_title;Grant Lenape Independence;;;;;;;;;;;;x,,
gtfo_LEN_desc;We've had a good run, but it's time to end our rulership of Lenape: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LGR_title;Grant Ligor Independence;;;;;;;;;;;;x,,
gtfo_LGR_desc;We've had a good run, but it's time to end our rulership of Ligor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIG_title;Grant Liege Independence;;;;;;;;;;;;x,,
gtfo_LIG_desc;We've had a good run, but it's time to end our rulership of Liege: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIT_title;Grant Lithuania Independence;;;;;;;;;;;;x,,
gtfo_LIT_desc;We've had a good run, but it's time to end our rulership of Lithuania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIV_title;Grant Livonian Order Independence;;;;;;;;;;;;x,,
gtfo_LIV_desc;We've had a good run, but it's time to end our rulership of Livonian Order: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNA_title;Grant Lan Na Independence;;;;;;;;;;;;x,,
gtfo_LNA_desc;We've had a good run, but it's time to end our rulership of Lan Na: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNB_title;Grant Lüneburg Independence;;;;;;;;;;;;x,,
gtfo_LNB_desc;We've had a good run, but it's time to end our rulership of Lüneburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNG_title;Grant Liang Independence;;;;;;;;;;;;x,,
gtfo_LNG_desc;We've had a good run, but it's time to end our rulership of Liang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNO_title;Grant Lanao Independence;;;;;;;;;;;;x,,
gtfo_LNO_desc;We've had a good run, but it's time to end our rulership of Lanao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOA_title;Grant Loango Independence;;;;;;;;;;;;x,,
gtfo_LOA_desc;We've had a good run, but it's time to end our rulership of Loango: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Milan Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Milan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOR_title;Grant Lorraine Independence;;;;;;;;;;;;x,,
gtfo_LOR_desc;We've had a good run, but it's time to end our rulership of Lorraine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LPN_title;Grant Lipan Independence;;;;;;;;;;;;x,,
gtfo_LPN_desc;We've had a good run, but it's time to end our rulership of Lipan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUA_title;Grant Luang Prabang Independence;;;;;;;;;;;;x,,
gtfo_LUA_desc;We've had a good run, but it's time to end our rulership of Luang Prabang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUB_title;Grant Lübeck Independence;;;;;;;;;;;;x,,
gtfo_LUB_desc;We've had a good run, but it's time to end our rulership of Lübeck: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUC_title;Grant Lucca Independence;;;;;;;;;;;;x,,
gtfo_LUC_desc;We've had a good run, but it's time to end our rulership of Lucca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUN_title;Grant Lunda Independence;;;;;;;;;;;;x,,
gtfo_LUN_desc;We've had a good run, but it's time to end our rulership of Lunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUW_title;Grant Luwu Independence;;;;;;;;;;;;x,,
gtfo_LUW_desc;We've had a good run, but it's time to end our rulership of Luwu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUX_title;Grant Luxembourg Independence;;;;;;;;;;;;x,,
gtfo_LUX_desc;We've had a good run, but it's time to end our rulership of Luxembourg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUZ_title;Grant Lusatia Independence;;;;;;;;;;;;x,,
gtfo_LUZ_desc;We've had a good run, but it's time to end our rulership of Lusatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LWA_title;Grant Limbuwan Independence;;;;;;;;;;;;x,,
gtfo_LWA_desc;We've had a good run, but it's time to end our rulership of Limbuwan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LXA_title;Grant Lan Xang Independence;;;;;;;;;;;;x,,
gtfo_LXA_desc;We've had a good run, but it's time to end our rulership of Lan Xang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAB_title;Grant Calicut Independence;;;;;;;;;;;;x,,
gtfo_MAB_desc;We've had a good run, but it's time to end our rulership of Calicut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAG_title;Grant Magdeburg Independence;;;;;;;;;;;;x,,
gtfo_MAG_desc;We've had a good run, but it's time to end our rulership of Magdeburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAI_title;Grant Mainz Independence;;;;;;;;;;;;x,,
gtfo_MAI_desc;We've had a good run, but it's time to end our rulership of Mainz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAJ_title;Grant Majeerteen Independence;;;;;;;;;;;;x,,
gtfo_MAJ_desc;We've had a good run, but it's time to end our rulership of Majeerteen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAW_title;Grant Malwa Independence;;;;;;;;;;;;x,,
gtfo_MAW_desc;We've had a good run, but it's time to end our rulership of Malwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAZ_title;Grant Mazovia Independence;;;;;;;;;;;;x,,
gtfo_MAZ_desc;We've had a good run, but it's time to end our rulership of Mazovia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MBA_title;Grant Mombasa Independence;;;;;;;;;;;;x,,
gtfo_MBA_desc;We've had a good run, but it's time to end our rulership of Mombasa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MBL_title;Grant Bishnupur Independence;;;;;;;;;;;;x,,
gtfo_MBL_desc;We've had a good run, but it's time to end our rulership of Bishnupur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MBZ_title;Grant Bregenz Independence;;;;;;;;;;;;x,,
gtfo_MBZ_desc;We've had a good run, but it's time to end our rulership of Bregenz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCA_title;Grant Muisca Independence;;;;;;;;;;;;x,,
gtfo_MCA_desc;We've had a good run, but it's time to end our rulership of Muisca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCM_title;Grant Munster Independence;;;;;;;;;;;;x,,
gtfo_MCM_desc;We've had a good run, but it's time to end our rulership of Munster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDI_title;Grant Mogadishu Independence;;;;;;;;;;;;x,,
gtfo_MDI_desc;We've had a good run, but it's time to end our rulership of Mogadishu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDO_title;Grant Kham Independence;;;;;;;;;;;;x,,
gtfo_MDO_desc;We've had a good run, but it's time to end our rulership of Kham: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDS_title;Grant Madyas Independence;;;;;;;;;;;;x,,
gtfo_MDS_desc;We've had a good run, but it's time to end our rulership of Madyas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEC_title;Grant Mecklenburg Independence;;;;;;;;;;;;x,,
gtfo_MEC_desc;We've had a good run, but it's time to end our rulership of Mecklenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MED_title;Grant Medri Bahri Independence;;;;;;;;;;;;x,,
gtfo_MED_desc;We've had a good run, but it's time to end our rulership of Medri Bahri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEM_title;Grant Memmingen Independence;;;;;;;;;;;;x,,
gtfo_MEM_desc;We've had a good run, but it's time to end our rulership of Memmingen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEN_title;Grant Mentese Independence;;;;;;;;;;;;x,,
gtfo_MEN_desc;We've had a good run, but it's time to end our rulership of Mentese: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEW_title;Grant Mewar Independence;;;;;;;;;;;;x,,
gtfo_MEW_desc;We've had a good run, but it's time to end our rulership of Mewar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MFA_title;Grant Montferrat Independence;;;;;;;;;;;;x,,
gtfo_MFA_desc;We've had a good run, but it's time to end our rulership of Montferrat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MFL_title;Grant Mikhlaf Independence;;;;;;;;;;;;x,,
gtfo_MFL_desc;We've had a good run, but it's time to end our rulership of Mikhlaf: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MFY_title;Grant Mahafaly Independence;;;;;;;;;;;;x,,
gtfo_MFY_desc;We've had a good run, but it's time to end our rulership of Mahafaly: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MGD_title;Grant Maguindanao Independence;;;;;;;;;;;;x,,
gtfo_MGD_desc;We've had a good run, but it's time to end our rulership of Maguindanao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MGR_title;Grant Maregheh Independence;;;;;;;;;;;;x,,
gtfo_MGR_desc;We've had a good run, but it's time to end our rulership of Maregheh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHC_title;Grant Mahican Independence;;;;;;;;;;;;x,,
gtfo_MHC_desc;We've had a good run, but it's time to end our rulership of Mahican: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHR_title;Grant Mahra Independence;;;;;;;;;;;;x,,
gtfo_MHR_desc;We've had a good run, but it's time to end our rulership of Mahra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHX_title;Grant Haixi Independence;;;;;;;;;;;;x,,
